artist,bio,THE MANIFREDS,"Legendary British Invasion band known for their dynamic R&B and blues-rock sound, reformed from the original Manfred Mann lineup in 1991.",Spotify
DRESDEN,"The ambitious club duo touches down in Somerset, fronted by old friends Ivan Smagghe and Manfredas.",,,Y
PALMS TRAX,Berlin-based DJ and producer inspired by house and techno to create his own unique percussive sound.,,,Y
KT,The northern crate digger and Space Dust resident.,,,Y
COAST 2 COAST,Berlinâs first mobile record shop turned three person B2B DJ experience exploring infinite possibilities.,,,Y
BRADLEY ZERO,Rhythm Section founder and Boiler Room original with his infectious love of new music.,,,Y
CHAOS IN THE CBD,"New Zealand brothers now part of the tight knit Peckham dance community, fully soaked in house music.",,,Y
SALLY C,"Irish born DJ traversing vintage house, hip house, acid house and break beat.",,,Y
CC:DISCO,"Slow, pumping playful and uplifting electronic sounds from the Australian DJ.",,,Y
CRAIG RICHARDS,"Artist, record collector, dreamer, DJ, producer, and artist in residence and musical director at Fabric for 25 years takes control.",,,Y
UNAI TROTTI,"The master of brilliant transitions, pulsating tech groovers, proggy house and other 90s oriented goodness.",,,Y
JOB JOBSE,The Dutch DJ adventuring far into electronic music while promoting his own legendary Strangelove nights.,,,Y
FAFF,"Opening the celebration of Body Movements with production duo Faff and their mix of house, techno, disco, funk and soul.",,,Y
DJ STINGRAY 313,"DJ Stingray 313, Detroit native, electro pioneer. Known for masked performances, Urban Tribe alias, futuristic beats.",,,Y
AURORA HALAL,"Producer, DJ and creator of The Mutual Dreaming Party with a hazy sensuality and a metallic dancefloor intensity.",,,Y
FACTA & K LONE,"The Wisdom Teeth label bosses weaving hypnotic techno, garage and electro.",,,Y
NICOLA CRUZ,Ecuadorian DJ and producer blending Andean cosmology and folkloric music from across the globe into contemporary electronic soundscapes.,,,Y
OR:LA,"Derry-born DJ, producer and CÃ©ad label boss bridging UK bass subtleties with breakbeat and techno.",,,Y
SCARLETT OâMALLEY,Electronic dance sounds kick off the Foundation FM Takeover.,,,Y
APIENTO,Test Pressing blogger and esoteric DJ.,,,Y
LUKE UNA,"At the forefront of a changing scene, pairing Manchesterâs 80s and 90s scene with the delivery of what todayâs club communities need to get down.",,,Y
JAMZ SUPERNOVA,"Label head, radio host, DJ, podcaster, and tastemaker known for selecting sounds that span all musical genres and subcultures",,,Y
DJ MILO,Hailing from the vibrant streets of Johannesburg with a magnetic fusion of hip hop and R&B that keeps the crowd grooving.,,,Y
ALEX NUT,"Label catalyst bringing house, soul, boogie, funk, hip hop, broken beat, jazz and a variety of electronic sounds.",,,Y
SHY ONE,Moving from hip hop and jazz to house and West Londonâs own broken beat movement.,,,Y
CHUNKY,Celebrating Floating Points and Alex Nutâs Eglo label with stalwart Manchester rapper and producer Chunky.,,,Y
YUSHH,Deep and dubby atmospheric electronic sounds.,,,Y
DJ LAG,Electronic dance sounds from the South African DJ and producer.,,,Y
IDO PLUMES,Forward Facing dub meets bouyant tecno.,,,Y
SIS:DEM,Female bass collective showcasing the crÃ¨me de la crÃ¨me of the UK's underground scene.,,,Y
THINK TONK,"A celebration of drum and bass, jungle and dancehall, an adventure into all things Bashy, Bassy, Wavey and Ravey.",,,Y
BENNY L,Randall-schooled DJ and producer turns up the bass.,,,Y
SUBMOTIVE,More 'Headz space with the renowned DJ and producer.,,,Y
GROVE,"Brooding bass, chopped-up vocals and dark, hypnotic rhythms.",,,Y
BOOTY BASS,The Bristol collective of  female/nb/queer DJS.,,,Y
BANDYT,"The Bristol celebration of art, music and dacne takes over.",,,Y
MALL GRAB,"Heralded house and techno DJ and producer, skate enthusiast and remixer.",,,Y
DESIREE,"A dynamic and vibrant selector driven by a deep yearning for electronica, channelling her knowledge and passion into unforgettable performances.",,,Y
LOVE REMAIN,"Exploring the geography of everyday life transfixed with poetic dance music thatâs suffused with field recordings, birdsong and late night conversations.",,,Y
KURUPT FM,"London's finest pirate radio station; the BAFTA-winning, feature film making, album charting bedroom DJs open The Glade with their high rise selection.",,,Y
KOLTER,Direct from the ever-innovative German music scene with a fresh take on house music.,,,Y
CHRIS STUSSY,"DJ, producer and label boss established as a central figure within the modern house landscape.",,,Y
ENZO SIRAGUSA,"Stacked with house, techno, and UK bass heavy sounds across drum and bass, garage and jungle.",,,Y
FAITHLESS,"Legendary dance outfit return to the stage after an eight year hiatus, expect anthems galore.",,,Y
GOK WAN,"Channelling his love of soulful, uplifting house in an uplifting and stylish way of course.",,,Y
K KLASS,"Responsible for some of the biggest UK house tracks and countless remixes (Pet Shop Boys, Whitney Houston, Blondie, Bobby Brown).",,,Y
D:REAM,Chart toppers celebrating 30 years anniversary with a brand-new show full of their anthems.,,,Y
LIAM BAILEY,"Singer songwriter noted for his soul, reggae, and blues-influenced vocal style.",,,Y
BEL COBAIN,"Multi-dimensional artist translating her message through jazz, house, alternative R&B and hip hop.",,,Y
FATBOY SLIM,"90s Big beat innovator, party legend, dabbling in big tunes across all genres from trip hop and new funk to electronica.",,,Y
LAYLA BENITEZ,The ever evolving Afro house DJ and producer.,,,Y
DAN SHAKE,"The groove lover, ranging from sparky acid to Brazilian samba, itchy funk to heavyweight house.",,,Y
NUBIYAN TWIST,"Seamlessly weaving together global grooves, soul and jazz intertwined with electronic elements, horn-led melodies and spontaneous improvisation.",,,Y
AFRIQUOI,"Live African dance music, fusing Congolese guitar and Gambian kora virtuosity with UK electronica to make dancefloor-friendly new music.",,,Y
N'FAMADY KOUYATÃ,"Master musician from Guinea (Conakry) fronting an indie/jazz/funk band.centered around his primary instrument, the balafon â a traditional wooden xylophone.",,,Y
CAMELPHAT,Arena-filling DJ duo from Liverpool redefining the electronic and dance mediums with their hi-octane sets.,,,Y
DANIEL AVERY,A dexterous DJ who has turned his hand to everything from pounding techno to dark industrial noise and blissed out ambience over the years.,,,Y
LOGIC1000,"Conjuring up concepts and genres via samples, UK-centric dance rhythms, digital synths and disembodied textures.",,,Y
SESSION VICTIM,"One of Germanys most prolific and accomplished house music production duos with an impressive remix catalogue (Midnight Magic, Folamour, Khruangbin).",,,Y
HENGE,"Purveyors of a âCosmic Drossâ electronic crossover, direct from the far corners of the Galaxy.",,,Y
DON LETTS,The rebel dread returns with the tunes to riock the block,,,Y
AN DANNSA DUB,Six-piece live band fusing the mystical energy and instruments of traditional Scottish music and Gaelic song with the heavy driving basslines of digital dub.,,,Y
CASSETTEBOY,"Mashup pioneers satirising Alan Sugar, Liz Truss and many more with DJ Rubbish as the ultimate MC just to confuse matters.",,,Y
DJ RUBBISH,"Mashup pioneers satirising Alan Sugar, Liz Truss and many more with DJ Rubbish as the ultimate MC just to confuse matters.",,,Y
K MOTIONZ,Young DnB powerhouse who's set to take the UK Drum & Bass scene by storm.,,,Y
KANINE,"Supported by some of the biggest and most influential names in Drum & Bass, the young Londoner known as Kanine has risen to new heights in recent years",,,Y
MOZEY,Mozey delivers D&B bangers like only he can!,,,Y
GIRLS NEXT DOOR,"High energy bass heavy trio featuring award winning MC Maddy V, DJ Ms Pink and vocalist Mila Falls",,,Y
NATTY LOU,Natty Lou is an international Drum and Bass DJ & Producer from the U.K who was nominated in the Drum & Bass Awards 2024 as âBest Female DJâ and in the Drum and Bass Arena Awards 2023 as âBest DJâ.,,,Y
THE ORB,Orbâs interstellar space odysse,,,Y
KING OF THE BEATS,Breaks supergroup with Krafty Kuts and members of the Freestylers and Plump DJs,,,Y
PAPER DRAGON,"Paper Dragon, keep the scene fresh with a nostalgic twist. Delving into the realms of jungle and breaks-inspired music.",,,Y
CHARISSE C,"Charisse C, DJ/artist, founder of Abantu. Blends Zimbabwean, South African roots with UK sounds. Known for soulful, bass-heavy sets.",,,Y
KILIMANJARO,"Electronic Producer DJ, playing the sounds of Afro, Amapiano, House and the world, forever bringing the part",,,Y
P-RALLEL,"P-rallel grew up on a colourful musical diet, honing his craft from his DJ father. p-rallel started making a name for himself as a DJ in his own right",,,Y
KEYRAH,Labelled as Mixmag's ,,,Y
IZCO,"20 years into his career, Liam Bailey can finally be himself providing the vocals for IZCO who has carved out a distinct space in the UK music scene. Redefining the old-skool sounds of garage, jungle, grime and broken beat into an all-encompassing collective",,,Y
WILFY D,"Hailing from Bristol, Wilfy D has been making waves with his distinctive sound blending House, UK Garage and R&B. Wilfy D continues to leave his mark on the UK scene, seamlessly blending the past with the present.",,,Y
YEMZ,"The DJ for the girls and the gang. Whether its waistline warpers, baile krud & anything in between, Yemz has been dizzying dance floors and festivals with a spiral of genres doused in steeze & sheâs just getting started with her debut production already setting flames with much more in the pipeline",,,Y
KEEQ,"KeeQ has released music through Armada Music, Circus Recordings, Saved Records, Abracadabra, and Hurry Up Slowly with seen prime time radio support on Radio 1, and Kiss.",,,Y
ALUCIDNATION,"Scenic, panoramic soundscaping. Aural Architecture.",,,Y
LAIDLAW,"Laidlaw is a highly talented DJ and Producer hailing from the vibrant city of London. With an undeniable passion for music, he has become one of the most talked about upcoming artists in the UK, positioning himself at the forefront of a new wave of underground selectors.",,,Y
MARGARET DYGAS,"With broad musical background fuelling her desire for electronic experimentation within her music, her productions and dj-sets incorporate the deep and dub-influenced sound she loves, whilst retaining the driving funk of her musical past.",,,Y
JUST JAM,Just Jam's sound hails from Manchester and is inspired by long seasons in Ibiza. He is a co-founder of the label BEEYOU RECORDS and key player for Game Over.,,,Y
MELODY,Parisian selector and Vinyl aficionado Melody has been gaining notoriety for several years coming up as a key member of burgeoning all female collective RA + RE.,,,Y
WODDA,"With a 'no stone left unturned' attitude when producing and hunting for music, Wodda has crafted himself a foundation of versatility.",,,Y
CARLY WILFORD,"After a series of standout releases in 2024, Carly Wilford has secured her space as one of the most promising new names in dance music. With her tunes heavily backed by Radio 1, she has recently shared stages with likes of Hannah Laing, Arielle Free, Monki and Meg Ward.",,,Y
LEON VYNEHALL,Leon Vynehall is part of a vanguard of artists expanding the ambition of electronic music. Leon has established himself as a genuine artist of musicality and craftsmanship across the world.,,,Y
SAMBA BOYS,Tommy holohan a Dublin native who has risen to the forefront of techno with a remarkable trajectory Joins felow Irish DJ and producer sensation Ketama for another of their blistering techno infused B2B set.,,,Y
SYREETA,London-based selector whose sounds are as diverse as her approach to life,,,Y
T.JACQUES,"Originating from the outskirts of the M25 Circular, London-based T. Jacques is carving out a name for himself in the underground house landscape, gaining recognition through a series of recent EPâs on labels such as Butter Side Up, MINDHELMET and his own Nuances de Nuit imprint.",,,Y
LUCY COOK,"UK-born Berlin-based A&R, Music Curator, and DJ, her sets see Lucy journeying through spacey ambient, blissful downtempo, trip-hop, and hip hop",,,Y
HARRI PEPPER,"Playing across the UK and Europe, Harriâs sound can take you anywhere. Resident for Londonâs best basement 17 Little Portland Street, Camdenâs legendary Jazz Cafe and the forward thinking radio station Rinse FM. Harri has certainly built up a reputation for his no-nonsense party starting and odd ball selection.",,,Y
DJ FLIGHT,"DJ Flight, Drum & Bass pioneer, EQ50 co-founder. Celebrated 25 years in 2022 with Boiler Room set, DJ Mag award.",,,Y
GOLDIE,"Goldie, drumânâbass icon, founded Metalheadz. Renowned for his unique style, gold teeth, and transforming British dance music.",,,Y
RONI SIZE,"Roni Size, Bristol legend, transformed DânâB, winning Mercury Prize for âNew Formsâ. Known for groundbreaking live performances.",,,Y
TIM REAPER,"Future Retro London label boss and lover of all things Jungle, Drum & Bass and Hardcore.",,,Y
RAGGS,"Raggs, dubstep, grime DJ/producer, journalist. Known for diverse selections, worldwide gigs, and fearless dedication to underground music culture.",,,Y
DEENA ABDELWAHED,"Deena Abdelwahed, Tunisian DJ/producer, now in France. Known for hybridized sets and acclaimed EP ",,,Y
AFRODEUTSCHE,"AFRODEUTSCHE, Henrietta Smith-Rolla, Manchester-based DJ/producer. Blends Afrofuturistic electro, techno, classical, Detroit house. Drexciyan and Underground Resistance-inspired.",,,Y
A- FUTURE,"Freakenstein, intergalactic funk child, inspired by Underground Resistance. Delivers explosive techno and electro, igniting dancefloors with futuristic funk.",,,Y
DJ PYTHON,"DJ Python, aka Brian Pineyro, NYC-based, versatile producer. Master of lo-fi house, techno, ambient. Global festival favorite.",,,Y
BICEP PRES CHROMA,"Bicep, Belfast-born duo, acclaimed curators/producers. Known for dynamic electronic music and Chroma AV show. BBC: ",,,Y
INTROSPEKT,"Introspekt, LA DJ/producer, blends dark 2-Step, groovy speed garage. Releases on Gimme A Break, EC2A, T4T LUV NRG.",,,Y
MIA KODEN,"Mia Koden, South London-based DJ/producer, influenced by African and UK sounds. Renowned for vibrant, cross-genre sets and unique records.",,,Y
CARISTA,"Carista, Utrecht DJ/producer, captivates with genre-blending sets. BBC Radio 1 resident, acclaimed Essential Mix. Red Light Radio alum.",,,Y
BLAWAN,"Blawan, aka Jamie Roberts, Barnsley native, ex-drummer turned techno innovator. Known for experimental techno, Kilner/Bored Young Adults aliases, and TERNESC label.",,,Y
ADAM SHELTON,"Adam Shelton, Walsall-born, runs Below raves, One Records, CafÃ© Artum, and Londonâs Tantrum. Electro visionary launching Eon Records.",,,Y
MARY MIDDLEFIELD,Veering between a keening pop-punk fuelled intensity and a lovely folk-inspired softness.,,,Y
COUSIN KULA,"Bristol band bringing a dreamy, laid-back sound to the soul underground scene.",,,Y
SAM EVANS,Somerset band who won the Pilton Stage talent competition beating off 1000 entrants.,,,Y
HIS LORDSHIP,"With nods towards 50s rockabilly, chart bound new wave, surf instrumentals, post-punk and scorching millennial garage rock.",,,Y
THE PARALLELS,Mid-tempo but hugely uplifting guitar-led pop.,,,Y
LETISHA GORDON,Birmingham-based singer songwriter blending soul and Afropop together.,,,Y
MARUJA,Intense and angsty electrifying proto jazz punk.,,,Y
ARXX,Alt rock gal pal duo playing pert pop songs with great hooks and a nod to alternative hip hop and rap. Great videos too.,,,Y
TORS,"Making the kind of songs you shout along to in the car alone with the windows down, just before last call in a pub full of friends.",,,Y
CHLOE SLATER,Playing peppy indie rock and some spikey guitar for added texture.,,,Y
PIXEY,With a prolific and unusual songwriting style stemming from original riffs and beat.,,,Y
FIZZ,"Described as psychedelic, maximalist, and theatrical, often drawing inspiration from past icons.",,,Y
MARY IN THE JUNKYARD,"Experiental rock trio serving up âAngry, weepy chaos rockâ.",,,Y
AUGUST CHARLES,"Alt-Soul singer born in Ndola, Zambia influenced by Frank Ocean and Amy Winehouse.",,,Y
TIANNA,"Bristol born, neo-soul singer songwriter, influenced by the likes of Joy Crookes, Pip Millet and Greentea Peng.",,,Y
LIZZIE ESAU,"Influenced by Wolf Alice, Beabadoobee, Bob Vylan and Radiohead, creating her own angsty sound.",,,Y
GIRLBAND!,Alternative three-piece pulling on influences from the 50s to the present day to create their own distinctive sound.,,,Y
CHIEDU ORAKA,A conscious grime artist who moves with purpose.,,,Y
MAYA LAKHANI,Swaggering guitarist making stylish self-produced alt rock withj some chunky riffs and dreamy vocals.,,,Y
SABIYHA,Putting humanity to the forefront as they explore and expose the most vulnerable and empowering parts of themselves.,,,Y
PARIS PALOMA,"With dramatic instrumentation, folk sensibilities, pop at its most cavernous.",,,Y
DEJA,"Funky, gentle and smooth R&B mixed into a flamboyant super sweet sound.",,,Y
JORDAN MACKAMPA,Soulful singer songwriter calling on his Congolese roots and a love of rap and old skool funk.,,,Y
INDIRA ROMAN Y AJI PA' TI,Cuban singer songwriter Indira RomÃ¡n brings her unique tropical sound with her band Aji Pa' Ti creating an explosive and irresistible experience.,,,Y
YOUTH,"Grammy award winning producer, founding member and bassist of the rock band Killing Joke.",,,Y
VIOLETA VICCI,"Rooted in natural soundscapes and highlighting the fragility of the environment, singer and violinist Violeta Vicci is a multi-faceted contemporary classical and electronic artist.",,,Y
ANA ROXANNE,"Embodying the radiance of R&B vocalists, the immaculateness of church hymns, and the soul-stirring power of devotional music, Ana Roxanne makes incredibly intimate pieces of music that combine meditative drone, calming ambient soundscapes, and angelic vocals.",,,Y
KLEIN,"Klein is a contemporary British artist and composer whose work often blurs the lines between fact and fiction. Her music releases, films and performances are often informed by urban mapping, surveillance, humour, hip hop, noise, identity and beyond.",,,Y
MIXMASTER MORRIS,Long-running champion of Ambient music and everything related.,,,Y
MERLIN SHELDRAKE,"Biologist and author of Entangled Life: How Fungi Make Our Worlds, Change Our Minds, and Shape Our Futures, a New York Times and Sunday Times bestseller, and winner of the Royal Society Book Prize and the Wainwright Prize",,,Y
ENTITY,Synthesiser / sequencer programmer who started his career as a session guitarist in a West End cabaret and composer for the Atmosphere (2) label.,,,Y
KMRU,"Nairobi-born, Berlin-based sound artist whose work is grounded on the discourse of field recording, noise, and sound art.",,,Y
JAMES BURTON,"An excursion into esoteric and ambient territory, including rarities and exclusives from the pioneering Warp Records label.",,,Y
KONX-OM-PAX,Konx-om-Pax will perform an exclusive immersive audio visual ambient set,,,Y
DAN BEAN,Wonky horizontal psychedelia,,,Y
BEA BRENNAN,"Bea Brennan (Bleep43, Old Technology) presents her new quadraphonic, ambient sound work Thought Forms, with visual accompaniment provided by artist Damien Roach (555-5555)",,,Y
RROSE,"Rrose - Please Touch. Acoustically-deceiving, mind-rearranging music from Rrose that moves beyond techno into something more tactile and unpredictable.",,,Y
MAMA TOKUS,"Mama Tokus is known for her unique fusion of blues, funk, and spoken word, bringing a vibrant and eclectic style that often explores themes of empowerment and social justice.",,,Y
DAVID CELIA,"David Celia is a Canadian singer-songwriter known for his engaging blend of folk rock and pop. His music often features harmonious melodies, thoughtful lyrics, and a warm, acoustic-driven sound.",,,Y
MAL WEBB,"Mal Webb is an Australian musician known for his multi-instrumentalist abilities and use of vocal looping. His music can be categorized as eclectic acoustic with influences from funk, jazz, and folk.",,,Y
RIVER ROOTS,"River Roots is known for their organic, acoustic music that often blends folk and roots genres. Their harmonious tunes and reflective lyrics aim to connect listeners with nature and the human spirit.",,,Y
FULU MIZIKI,"Fulu Miziki is an eco-friendly collective from the Democratic Republic of Congo, creating instruments from recycled materials. Their music blends traditional African rhythms with a modern, avant-garde approach.",,,Y
THE PLUMPS,"The Plumps, consisting of DJ duo Lee Rous and Andy Gardner, are pioneers in the breaks sub-genre of electronic music known as 'Plump DJs'. They have significantly contributed to the breakbeat and nu-skool breaks scenes since the late 1990s.",,,Y
KRAFT KUTS,Kraft Kuts is known for his work in the breakbeat and electronic music genres. His creative and energetic approach has earned him a strong reputation in the global breaks community.,,,Y
ADELPHI MUSIC FACTORY,"Adelphi Music Factory is known for their modern house music with a distinct, uplifting, and euphoric style that draws on classic house and rave influences.",,,Y
SHYGIRL,"Shygirl is an artist who blends elements of hip hop, experimental pop, and electronic music. Known for her bold and genre-defying style, she has garnered attention for her innovative approach to music and performance.",,,Y
DJ BORING,"DJ Boring is an electronic music producer and DJ from Australia, noted for his lo-fi house tracks. He rose to prominence with the viral hit 'Winona,' known for its nostalgic vibe and distinctive samples.",,,Y
DAS BRASS,"Das Brass is a dynamic brass band that infuses traditional brass band music with elements of funk, hip-hop, and dance. Their high-energy performances are known for their infectious grooves and lively atmosphere.",,,Y
IVAN SMAGGHE,"Ivan Smagghe is a prominent figure in the electronic music world, often associated with the sub-genre of electroclash. His style typically features a mix of post-punk, techno, and new wave influences.",,,Y
MANFREDAS,"Manfredas is known for his work in the electronic music scene, specifically within the sub-genre of psychedelic and experimental electronica. His sets often blend a variety of influences, creating a unique and eclectic sound.",,,Y
KATALYST,"Katalyst is a prominent figure in the Australian hip-hop and electronic music scenes. His music often features complex beats and collaborations with various artists, bringing a unique, groove-infused sound to his productions.",,,Y
AFLA,Afla is recognized for his vibrant Afrobeat and highlife music. His innovative fusion of traditional African rhythms with contemporary sounds makes his music lively and engaging.,,,Y
GARDNA,"Gardna is a versatile artist within the UK bass music scene, known for his vocal performances that blend elements of dub, reggae, and hip-hop. His work often features collaborations with other prominent figures in the bass music community.",,,Y
AHADADREAM,"Ahadadream is a London-based DJ and producer known for his contributions to the UK funky and bass scenes. He blends diverse influences to create vibrant, dancefloor-ready tracks.",,,Y
BUFFOS WAKE,Buffos Wake are known for their wild and eclectic blend of folk-punk and gypsy influences. Their energetic performances and unique sound make them stand out in the world of alternative folk music.,,,Y
NGAIO,"Ngaio is a singer and DJ known for combining soulful melodies with electronic beats. Her music crosses genres, incorporating elements of jazz, soul, and bass music, creating a fresh and engaging sound.",,,Y
THE CARRY NATION,The Carry Nation is a DJ and production duo known for their work in the underground house and techno scenes. Their eclectic sets and productions often feature a mixture of deep house rhythms and vibrant techno beats.,,,Y
GREG BELSON,"Greg Belson is celebrated in the realm of Gospel Soul, a subgenre that melds aspects of soul music with gospel influences, often featuring powerful, emotive vocal performances.",,,Y
RUSS RYAN,"Russ Ryan is a DJ and producer often recognized for his contributions to jazz-infused beats and hip-hop. He blends classic jazz elements with modern rhythms, creating a unique sound palette that resonates with diverse audiences.",,,Y
MO FINGAZ,"Mo Fingaz is known for his eclectic DJ sets that span a wide range of genres including funk, soul, hip-hop, and house. His diverse selection and seamless mixing make for energetic sets that keep the dance floors vibrant and dynamic.",,,Y
HEIDI,"Heidi is a prominent figure in the electronic music scene, known for her dynamic DJ sets and infectious energy. She often features in underground house and techno events and has a knack for blending classic and modern tracks seamlessly.",,,Y
YUNG SINGH,Yung Singh is a UK-based DJ making waves in the house and UK garage scenes. He is known for his unique ability to blend old-school rhythmic vibes with contemporary electronic sounds.,,,Y
BRYTE,Bryte is a Ghanaian artist known for his high-energy Afrobeat and dancehall music. He often blends traditional Ghanaian sounds with modern electronic elements.,,,Y
DJ RAP,"DJ Rap is a pioneering figure in drum and bass and electronic music. She has been an influential DJ, producer, and vocalist in the scene, known for her high-energy sets and versatile production that spans genres including drum and bass, house, and breakbeat.",,,Y
MAZE,"Maze, also known as Maze featuring Frankie Beverly, is an American soul and R&B band. They are celebrated for their smooth, soulful sound and classic hits that have become staples in the R&B genre.",,,Y
ROSA PISTOLA,"Rosa Pistola is a DJ and producer known for her influence in the reggaeton underground scene, bringing raw and edgy performances.",,,Y
MAUVEY,"Mauvey is an eclectic artist whose music blends alternative R&B, hip hop, and electronic elements. His style is characterized by emotive lyrics, innovative production, and a distinctive vocal delivery.",,,Y
POLA & BRYSON,"Pola & Bryson are a drum and bass duo from the UK, specializing in the liquid and melodic variations of the genre. They are celebrated for their rich, harmonic compositions and impactful releases on prominent labels.",,,Y
JACK FRANCIS,"Jack Francis is a singer-songwriter who blends folk and indie rock influences to create soulful and heartfelt music. His style often features rich vocal harmonies, acoustic guitar, and introspective lyrics.",,,Y
STONE JETS,"Stone Jets are a South African duo known for their folk-pop sound, which combines catchy melodies with vibrant rhythms and insightful lyrics, reflecting their diverse musical influences.",,,Y
MANUEL DARQUART,"Manuel Darquart is known for his work in the genre of smooth, laid-back house music and disco. His tracks often feature lush melodies and nostalgic grooves, perfect for relaxed listening and chill dancefloor moments.",,,Y
LAND OF THE GIANTS,"Land Of The Giants is known for their energetic blend of rock, reggae, and ska, making them a popular live act in the UK festival circuit.",,,Y
ANDREW MAXWELL MORRIS,"Andrew Maxwell Morris is a singer-songwriter whose music fits within the genre of folk and acoustic rock. His songs often feature heartfelt lyrics, melodic guitar work, and a soulful vocal delivery.",,,Y
OTTO AND ASTRID - DIE ROTEN PUNKTE,"Otto and Astrid - Die Roten Punkte is a satirical rock and roll comedy duo from Australia. Their music parodies rock and punk styles, with humorous and outlandish stage shows that mock the clichÃ©s of rock bands.",,,Y
THRILL COLLINS,"Thrill Collins is a British acoustic trio known for their high-energy live performances and unique covers of popular songs. They describe their style as 'skiffle pop,' blending skiffleâa genre influenced by jazz, blues, and folkâwith pop music elements.",,,Y
THE NEXTMEN,"The Nextmen are a production and DJ duo known for their eclectic mix of hip-hop, reggae, and electronic music. Their versatile style has earned them a prominent place in the UK music scene, with various successful albums and live performances.",,,Y
KIKO BUN,"Kiko Bun is a British singer and songwriter known for his contemporary twist on classic reggae music. Fusing elements of reggae, hip-hop, and soul, he brings a fresh yet nostalgic sound to the genre, making reggae accessible to a new generation of listeners.",,,Y
VILLAGE CUTS,"Village Cuts is a music duo known for their fusion of Afrobeat, electronic, and dancehall music, producing vibrant and energetic tracks.",,,Y
TWIN SUN,"Twin Sun is a duo that produces and DJs in the disco house genre. Their music typically features upbeat, funky basslines and retro-sounding synths, which bring a modern twist to the classic disco sound.",,,Y
CC:DISCO!,"Cc:Disco! is a DJ and radio host celebrated in the electronic and dance music scene. Her sets often feature a nostalgic mix of disco, house, and boogie, creating vibrant and feel-good dance floor experiences.",,,Y
MICHAEL BAKER,Michael Baker is a singer-songwriter whose music typically falls within the indie-folk genre. His deeply emotive lyrics and gentle acoustic melodies create an intimate and reflective listening experience.,,,Y
GECKO,"Gecko is known for his witty and playful approach to songwriting. Blending elements of folk, pop, and spoken word, his music often features clever lyrics, catchy melodies, and a light-hearted tone.",,,Y
MISTA TRICK,"Mista Trick is a producer and DJ notable for his unique blend of swing and drum and bass, known as swing & bass. His music often features live jazz instrumentation mixed with fast-paced drum beats.",,,Y
SAM LEE,"Sam Lee is a noted artist in the contemporary folk music scene. He is renowned for his work in preserving traditional British folk songs and often incorporates a modern twist, bringing new life to historical melodies and stories.",,,Y
MJ COLE,"MJ Cole is a UK garage producer whose work has been pivotal in the development of the genre. His music blends soulful vocals with complex, skittering beats, and he is known for hits like 'Sincere'.",,,Y
I AM FYA,"I Am Fya is an artist known for blending electronic, dancehall, and experimental sounds, creating a unique and eclectic musical style.",,,Y
OTTO & ASTRID-DIE ROTEN PUNKTE,"Otto & Astrid-Die Roten Punkte are a German/Australian comedy rock duo, known for their satirical and often absurd performances that parody rock band clichÃ©s.",,,Y
NEW YORK BRASS BAND,"New York Brass Band is a contemporary brass band known for their eclectic mix of genres, including jazz, pop, funk, and rock. They bring a lively brass sound to a variety of popular and traditional melodies.",,,Y
SHOSH,"Shosh is a prominent figure in the UK garage scene, known for her contributions to the genre both as a DJ and producer. As part of the Garage Girls collective, she blends classic UK garage with contemporary bass and house influences.",,,Y
DAR DISKU,"Dar Disku is a duo known for their eclectic DJ sets and music productions that draw heavily from Middle Eastern and Arabic influences. They often blend traditional sounds with contemporary electronic music, creating unique and danceable tracks.",,,Y
NABIHAH IQBAL,"Nabihah Iqbal is a multi-instrumentalist and DJ known for her unique approach to electronic music, mixing elements of post-punk, shoegaze, and dance genres.",,,Y
COCO EM,"Coco Em is a Nairobi-based DJ and producer known for her eclectic mixes that blend elements of house, afrobeat, and electronic music. She is celebrated for her ability to incorporate diverse musical influences into her sets.",,,Y
SKREAM,"Skream is a British electronic music producer and DJ, often credited as a pioneer in the dubstep genre. He has been influential in shaping the sound of dubstep with his minimalist yet impactful productions, and has also explored house and techno in his later work.",,,Y
BENGA,"Benga is a British musician, DJ, and music producer known as one of the pioneering forces in the dubstep genre. His innovative approach and collaborations have significantly influenced the sound and evolution of dubstep since its inception.",,,Y
DUBKASM,"Dubkasm is a well-known name in the dub and reggae scene. Originating from Bristol, England, Dubkasm's music is characterized by heavy basslines, echoing sounds, and a strong influence of Jamaican reggae culture. Their tracks often incorporate live instruments and feature collaborations with various vocal artists.",,,Y
SHOWHAWK DUO,"The Showhawk Duo are famed for their unique style that blends acoustic and electronic music. Their innovative approach sees them performing acoustic takes on dance anthems and contemporary hits, showcasing their exceptional guitar skills.",,,Y
BAZZOOKAS,"Bazzookas are a lively ska band from the Netherlands, known for their high-energy performances and catchy, brass-infused rhythms that draw from traditional ska and punk influences.",,,Y
JEREMIAH ASIAMAH,"Jeremiah Asiamah is known for his eclectic approach to electronic music, blending genres like house, garage, and Afrobeat to create energetic and infectious dance tracks.",,,Y
PETEBOX,"Petebox is a pioneering beatboxer and live-looping artist, known for creating intricate and full-band soundscapes using just his voice and loop pedal. His work spans various genres, including rock, electronic, and pop.",,,Y
MAE CHALLIS,"Mae Challis is a pop and indie artist, recognized for her powerful voice and emotive songwriting. Her music often touches on personal experiences and universal themes.",,,Y
